[91, 101, '0x7f92040024f0', '0xcfa9e0', '1', 'deque_pop_front_119']
[92, 101, '0x7f92040024f8', '0x7f91fc0045d8', '1', 'deque_pop_front_121']
[93, 101, '0x7f91fc0045e0', '0xcfa9e8', '1', 'deque_pop_front_126']
[94, 101, '0xcfaad0', '0xcfa9e0', '2', 'deque_pop_back_143']
[95, 101, '0xcfaae0', '0xcfaae0', '2', 'deque_pop_back_145']
[96, 101, '0xcfae38', '0xcfa9f0', '2', 'deque_pop_back_150']
[97, 101, '0x7f9204002500', '-1', '1', 'deque_push_back_102']
[98, 101, '0xcfae38', '0xcfaae0', '1', 'deque_push_back_103']
[99, 101, '0x7f91fc0045d0', '0xcfa9e0', '2', 'deque_pop_front_119']
[100, 101, '0x7f91fc0045d8', '0x7f91fc0045d8', '2', 'deque_pop_front_121']
[101, 101, '0xcfaba0', '0xcfa9e8', '2', 'deque_pop_front_126']
[102, 101, '0xcfa9e8', '-1', '1', 'deque_push_front_86']
[103, 101, '0xcfaba0', '0x7f91fc0045d8', '1', 'deque_push_front_87']
[104, 101, '0x7f91fc0045e0', '-1', '2', 'deque_push_back_102']
[105, 101, '0x7f92040024f8', '0xcfaae0', '2', 'deque_push_back_103']
[106, 101, '0x7f91fc0045d0', '0xcfa9e0', '1', 'deque_pop_back_143']
[107, 101, '0x7f91fc0045e0', '0xcfaae0', '1', 'deque_pop_back_145']
[108, 101, '0x7f92040024f8', '0xcfa9f0', '1', 'deque_pop_back_150']
[109, 101, '0xcfa9e0', '0xcfa9e0', '1', 'deque_pop_front_119']
[110, 101, '0xcfa9e8', '0x7f91fc0045d8', '1', 'deque_pop_front_121']
[111, 101, '0xcfaba0', '0xcfa9e8', '1', 'deque_pop_front_126']
[112, 101, '0xcfaad8', '-1', '2', 'deque_push_front_86']
[113, 101, '0xcfaba0', '0x7f91fc0045d8', '2', 'deque_push_front_87']
[114, 101, '0xcfa9f0', '-1', '1', 'deque_push_back_102']
[115, 101, '0x7f92040024f8', '0xcfaae0', '1', 'deque_push_back_103']
[116, 101, '0x7f91fc0045d8', '-1', '1', 'deque_push_front_86']
[117, 101, '0xcfaae0', '0x7f91fc0045d8', '1', 'deque_push_front_87']
[118, 101, '0xcfa9e0', '0xcfa9e0', '2', 'deque_pop_back_143']
[119, 101, '0xcfa9f0', '0xcfaae0', '2', 'deque_pop_back_145']
[120, 101, '0x7f92040024f8', '0xcfa9f0', '2', 'deque_pop_back_150']
[121, 101, '0x7f92040024f0', '0xcfa9e0', '1', 'deque_pop_back_143']
[122, 101, '0x7f9204002500', '0xcfaae0', '1', 'deque_pop_back_145']
[123, 101, '0xcfae38', '0xcfa9f0', '1', 'deque_pop_back_150']
[124, 101, '0x7f91fc0045d0', '0xcfa9e0', '2', 'deque_pop_front_119']
[125, 101, '0x7f91fc0045d8', '0x7f91fc0045d8', '2', 'deque_pop_front_121']
[126, 101, '0xcfaae0', '0xcfa9e8', '2', 'deque_pop_front_126']
[127, 101, '0xcfaad0', '0xcfa9e0', '1', 'deque_pop_front_119']
[128, 101, '0xcfaad8', '0x7f91fc0045d8', '1', 'deque_pop_front_121']
[129, 101, '0xcfaba0', '0xcfa9e8', '1', 'deque_pop_front_126']
[130, 101, '0x7f91fc0045e0', '-1', '2', 'deque_push_back_102']
[131, 101, '0xcfae38', '0xcfaae0', '2', 'deque_push_back_103']
[132, 101, '0xcfaae0', '-1', '1', 'deque_push_back_102']
[133, 101, '0x7f91fc0045d8', '0xcfaae0', '1', 'deque_push_back_103']
[134, 101, '0xcfa9e8', '-1', '2', 'deque_push_front_86']
[135, 101, '0xcfaba0', '0x7f91fc0045d8', '2', 'deque_push_front_87']
[136, 101, '0x7f92040024f8', '-1', '1', 'deque_push_front_86']
[137, 101, '0xcfa9f0', '0x7f91fc0045d8', '1', 'deque_push_front_87']
[138, 101, '0xcfaad0', '0xcfa9e0', '2', 'deque_pop_back_143']
[139, 101, '0xcfaae0', '0xcfaae0', '2', 'deque_pop_back_145']
[140, 101, '0x7f91fc0045d8', '0xcfa9f0', '2', 'deque_pop_back_150']
[141, 101, '0x7f91fc0045d0', '0xcfa9e0', '1', 'deque_pop_back_143']
[142, 101, '0x7f91fc0045e0', '0xcfaae0', '1', 'deque_pop_back_145']
[143, 101, '0xcfae38', '0xcfa9f0', '1', 'deque_pop_back_150']
[144, 101, '0x7f92040024f0', '0xcfa9e0', '2', 'deque_pop_front_119']
[145, 101, '0x7f92040024f8', '0x7f91fc0045d8', '2', 'deque_pop_front_121']
[146, 101, '0xcfa9f0', '0xcfa9e8', '2', 'deque_pop_front_126']
[147, 101, '0xcfa9e0', '0xcfa9e0', '1', 'deque_pop_front_119']
[148, 101, '0xcfa9e8', '0x7f91fc0045d8', '1', 'deque_pop_front_121']
[149, 101, '0xcfaba0', '0xcfa9e8', '1', 'deque_pop_front_126']
[150, 101, '0x7f9204002500', '-1', '2', 'deque_push_back_102']
[151, 101, '0xcfae38', '0xcfaae0', '2', 'deque_push_back_103']
[152, 101, '0xcfa9f0', '-1', '1', 'deque_push_back_102']
[153, 101, '0x7f92040024f8', '0xcfaae0', '1', 'deque_push_back_103']
[154, 101, '0xcfaad8', '-1', '2', 'deque_push_front_86']
[155, 101, '0xcfaba0', '0x7f91fc0045d8', '2', 'deque_push_front_87']
[156, 101, '0x7f91fc0045d8', '-1', '1', 'deque_push_front_86']
[157, 101, '0xcfaae0', '0x7f91fc0045d8', '1', 'deque_push_front_87']
[158, 101, '0xcfa9e0', '0xcfa9e0', '2', 'deque_pop_back_143']
[159, 101, '0xcfa9f0', '0xcfaae0', '2', 'deque_pop_back_145']
[160, 101, '0x7f92040024f8', '0xcfa9f0', '2', 'deque_pop_back_150']
[161, 101, '0x7f92040024f0', '0xcfa9e0', '1', 'deque_pop_back_143']
[162, 101, '0x7f9204002500', '0xcfaae0', '1', 'deque_pop_back_145']
[163, 101, '0xcfae38', '0xcfa9f0', '1', 'deque_pop_back_150']
[164, 101, '0x7f91fc0045d0', '0xcfa9e0', '2', 'deque_pop_front_119']
[165, 101, '0x7f91fc0045d8', '0x7f91fc0045d8', '2', 'deque_pop_front_121']
[166, 101, '0xcfaae0', '0xcfa9e8', '2', 'deque_pop_front_126']
[167, 101, '0xcfaad0', '0xcfa9e0', '1', 'deque_pop_front_119']
[168, 101, '0xcfaad8', '0x7f91fc0045d8', '1', 'deque_pop_front_121']
[169, 101, '0xcfaba0', '0xcfa9e8', '1', 'deque_pop_front_126']
[170, 101, '0x7f91fc0045e0', '-1', '2', 'deque_push_back_102']
[171, 101, '0xcfae38', '0xcfaae0', '2', 'deque_push_back_103']
[172, 101, '0xcfaae0', '-1', '1', 'deque_push_back_102']
[173, 101, '0x7f91fc0045d8', '0xcfaae0', '1', 'deque_push_back_103']
[174, 101, '0xcfa9e8', '-1', '2', 'deque_push_front_86']
[175, 101, '0xcfaba0', '0x7f91fc0045d8', '2', 'deque_push_front_87']
[176, 101, '0x7f92040024f8', '-1', '1', 'deque_push_front_86']
[177, 101, '0xcfa9f0', '0x7f91fc0045d8', '1', 'deque_push_front_87']
[178, 101, '0xcfaad0', '0xcfa9e0', '2', 'deque_pop_back_143']
[179, 101, '0xcfaae0', '0xcfaae0', '2', 'deque_pop_back_145']
[180, 101, '0x7f91fc0045d8', '0xcfa9f0', '2', 'deque_pop_back_150']
[181, 101, '0x7f91fc0045d0', '0xcfa9e0', '1', 'deque_pop_back_143']
[182, 101, '0x7f91fc0045e0', '0xcfaae0', '1', 'deque_pop_back_145']
[183, 101, '0xcfae38', '0xcfa9f0', '1', 'deque_pop_back_150']
[184, 101, '0x7f92040024f0', '0xcfa9e0', '2', 'deque_pop_front_119']
[185, 101, '0x7f92040024f8', '0x7f91fc0045d8', '2', 'deque_pop_front_121']
[186, 101, '0xcfa9f0', '0xcfa9e8', '2', 'deque_pop_front_126']
[187, 101, '0xcfa9e0', '0xcfa9e0', '1', 'deque_pop_front_119']
[188, 101, '0xcfa9e8', '0x7f91fc0045d8', '1', 'deque_pop_front_121']
[189, 101, '0xcfaba0', '0xcfa9e8', '1', 'deque_pop_front_126']
[190, 101, '0x7f9204002500', '-1', '2', 'deque_push_back_102']
[191, 101, '0xcfae38', '0xcfaae0', '2', 'deque_push_back_103']
[192, 101, '0xcfa9f0', '-1', '1', 'deque_push_back_102']
[193, 101, '0x7f92040024f8', '0xcfaae0', '1', 'deque_push_back_103']
[194, 101, '0xcfaad8', '-1', '2', 'deque_push_front_86']
