['Lock_0', 105, 'M1', -1, '0', 'enqueue_21_x']
[243, 101, '0x7f43a8001918', '0x7f43b0002c88', '0', 'dequeue_46']
[244, 101, '0x7f43b00043b0', '0x7f43b0002c80', '1', 'dequeue_45']
[245, 101, '0x7f43b00043b8', '0x7f43b0002c88', '1', 'dequeue_46']
[246, 103, '0', '-1', '1', 'dequeue_45_x']
[247, 103, '0', '-1', '1', 'dequeue_46_x']
[248, 101, '0x7f43b0004410', '0x7f43b0002c80', '0', 'dequeue_45']
[249, 101, '0x7f43b0004418', '0x7f43b0002c88', '0', 'dequeue_46']
[250, 101, '0x7f43b0004470', '0x7f43b0002c80', '0', 'dequeue_45']
[251, 101, '0x7f43b0004478', '0x7f43b0002c88', '0', 'dequeue_46']
[252, 101, '0x7f43b00044d0', '0x7f43b0002c80', '0', 'dequeue_45']
[253, 101, '0x7f43b00044d8', '0x7f43b0002c88', '0', 'dequeue_46']
[254, 101, '0x7f43b0004530', '0x7f43b0002c80', '0', 'dequeue_45']
[255, 101, '0x7f43b0004538', '0x7f43b0002c88', '0', 'dequeue_46']
[256, 101, '0x7f43b0004590', '0x7f43b0002c80', '0', 'dequeue_45']
[257, 101, '0x7f43b0004598', '0x7f43b0002c88', '0', 'dequeue_46']
[258, 101, '0x7f43b0003e10', '0x7f43b0002c80', '0', 'dequeue_45']
[259, 101, '0x7f43b0003e18', '0x7f43b0002c88', '0', 'dequeue_46']
[260, 103, '0', '-1', '0', 'enqueue_21_x']
[261, 103, '0', '-1', '0', 'enqueue_22_x']
