[281, 101, '0x7f38403c0618', '0x7f38403c0618', '0', 'get_288']
[282, 101, '0x7f38403c0620', '0x7f38403c0620', '0', 'get_293']
[283, 101, '0x7f38403c08e8', '0x7f38403c08e8', '0', 'generic_insert_997']
[284, 101, '0x7f38403c05d0', '0x7f38403c05d0', '0', 'generic_insert_1032']
[285, 101, '0x7f38403c0658', '0x7f38403c0658', '1', 'resize_0']
[286, 101, '0x7f38403c0650', '0x7f38403c0650', '1', 'resize_1447']
[287, 101, '0x7f38403c0768', '0x7f38403c0768', '1', 'resize_0']
[288, 101, '0x7f38403c0658', '0x7f38403c0768', '0', 'find_0']
[289, 101, '0x7f38403c0650', '0x7f38403c0650', '0', 'find_777']
[290, 101, '0x7f38403c0768', '0x7f38403c0768', '0', 'find_0']
[291, 101, '0x7f38403c0650', '0x7f38403c0650', '0', 'find_777']
[292, 101, '0x7f38403c0750', '-1', '0', 'get_288']
[293, 101, '0x7f38403c0758', '-1', '0', 'get_293']
[294, 101, '0x7f3840ae0110', '-1', '0', 'find_795']
[295, 101, '0x7f3840ae0118', '-1', '0', 'find_795']
[296, 101, '0x7f3840ae0120', '-1', '0', 'find_795']
[297, 101, '0x7f3840ae0128', '-1', '0', 'find_795']
[298, 101, '0x7f3840ae0130', '-1', '0', 'find_795']
[299, 101, '0x7f3840ae0138', '-1', '0', 'find_795']
[300, 101, '0x7f3840ae0140', '-1', '0', 'find_795']
[301, 101, '0x7f3840ae0148', '-1', '0', 'find_795']
[302, 101, '0x7f38403c0750', '-1', '0', 'get_288']
[303, 101, '0x7f38403c0758', '-1', '0', 'get_293']
[304, 101, '0x7f3840ae9450', '-1', '0', 'find_880']
[305, 101, '0x7f3840ae9458', '-1', '0', 'find_880']
[306, 101, '0x7f3840ae9460', '-1', '0', 'find_880']
[307, 101, '0x7f3840ae9468', '-1', '0', 'find_880']
[308, 101, '0x7f3840ae9470', '-1', '0', 'find_880']
[309, 101, '0x7f3840ae9478', '-1', '0', 'find_880']
[310, 101, '0x7f3840ae9480', '-1', '0', 'find_880']
[311, 101, '0x7f3840ae9488', '-1', '0', 'find_880']
[312, 101, '0x7f38403c06d0', '-1', '0', 'get_288']
[313, 101, '0x7f38403c06d8', '-1', '0', 'get_293']
[314, 101, '0x7f38403e1110', '-1', '0', 'find_795']
[315, 101, '0x7f38403e1118', '-1', '0', 'find_795']
[316, 101, '0x7f38403e1120', '-1', '0', 'find_795']
[317, 101, '0x7f38403e1128', '-1', '0', 'find_795']
[318, 101, '0x7f38403e1130', '-1', '0', 'find_795']
[319, 101, '0x7f38403e1138', '-1', '0', 'find_795']
[320, 101, '0x7f38403e1140', '-1', '0', 'find_795']
[321, 101, '0x7f38403e1148', '-1', '0', 'find_795']
[322, 101, '0x7f38403c06d0', '-1', '0', 'get_288']
[323, 101, '0x7f38403c06d8', '-1', '0', 'get_293']
[324, 101, '0x7f38403fa450', '-1', '0', 'find_880']
[325, 101, '0x7f38403fa458', '-1', '0', 'find_880']
[326, 101, '0x7f38403fa460', '-1', '0', 'find_880']
[327, 101, '0x7f38403fa468', '-1', '0', 'find_880']
[328, 101, '0x7f38403fa470', '-1', '0', 'find_880']
[329, 101, '0x7f38403fa478', '-1', '0', 'find_880']
[330, 101, '0x7f38403fa480', '-1', '0', 'find_880']
[331, 101, '0x7f38403fa488', '-1', '0', 'find_880']
[332, 101, '0x7f38403c05d0', '0x7f38403c05d0', '0', 'find_969']
[333, 101, '0x7f38403c05d0', '0x7f38403c05d0', '0', 'generic_insert_1064']
[334, 101, '0x7f38403c05f0', '0x7f38403c05f0', '1', 'load_419']
[335, 101, '0x7f38403c05d0', '0x7f38403c05f0', '1', 'resize_1439']
[336, 101, '0x7f38403c0658', '0x7f38403c0658', '1', 'resize_0']
[337, 101, '0x7f38403c0650', '0x7f38403c0650', '1', 'resize_1447']
[338, 101, '0x7f38403c0768', '0x7f38403c0768', '1', 'resize_0']
[339, 101, '0x7f38403c0618', '0x7f38403c0618', '0', 'get_288']
[340, 101, '0x7f38403c0620', '0x7f38403c0620', '0', 'get_293']
[341, 101, '0x7f38403c0b58', '0x7f38403c0958', '0', 'allocate_0']
[342, 101, '0x7f38403c0b58', '-1', '0', 'allocate_0']
[343, 101, '0x7f38403c05f0', '0x7f38403c05f0', '1', 'load_419']
[344, 101, '0x7f38403c05d0', '0x7f38403c05f0', '1', 'resize_1439']
[345, 101, '0x7f38403c0658', '0x7f38403c0658', '1', 'resize_0']
[346, 101, '0x7f38403c0650', '0x7f38403c0650', '1', 'resize_1447']
[347, 101, '0x7f38403c0768', '0x7f38403c0768', '1', 'resize_0']
[348, 101, '0x7f38403c0b80', '0x7f38403c0958', '0', 'allocate_0']
[349, 101, '0x7f38403c0b80', '-1', '0', 'allocate_0']
[350, 101, '0x7f38403c08e0', '-1', '0', 'operator=_206']
[351, 101, '0x7f38403c08e8', '0x7f38403c08e0', '0', 'operator=_206']
[352, 101, '0x7f38403c0618', '0x7f38403c0618', '0', 'get_288']
[353, 101, '0x7f38403c0620', '0x7f38403c0620', '0', 'get_293']
[354, 101, '0x7f38403c08e8', '0x7f38403c08e8', '0', 'generic_insert_997']
[355, 101, '0x7f38403c05d0', '0x7f38403c05d0', '0', 'generic_insert_1032']
[356, 101, '0x7f38403c0658', '0x7f38403c0768', '0', 'find_0']
[357, 101, '0x7f38403c0650', '0x7f38403c0650', '0', 'find_777']
[358, 101, '0x7f38403c0768', '0x7f38403c0768', '0', 'find_0']
[359, 101, '0x7f38403c0650', '0x7f38403c0650', '0', 'find_777']
[360, 101, '0x7f38403c0750', '-1', '0', 'get_288']
[361, 101, '0x7f38403c0758', '-1', '0', 'get_293']
[362, 101, '0x7f3840ad4710', '-1', '0', 'find_795']
[363, 101, '0x7f3840ad4718', '-1', '0', 'find_795']
[364, 101, '0x7f3840ad4720', '-1', '0', 'find_795']
[365, 101, '0x7f3840ad4728', '-1', '0', 'find_795']
[366, 101, '0x7f3840ad4730', '-1', '0', 'find_795']
[367, 101, '0x7f3840ad4738', '-1', '0', 'find_795']
[368, 101, '0x7f3840ad4740', '-1', '0', 'find_795']
[369, 101, '0x7f3840ad4748', '-1', '0', 'find_795']
[370, 101, '0x7f38403c0750', '-1', '0', 'get_288']
[371, 101, '0x7f38403c0758', '-1', '0', 'get_293']
[372, 101, '0x7f3840aea150', '-1', '0', 'find_880']
[373, 101, '0x7f3840aea158', '-1', '0', 'find_880']
[374, 101, '0x7f3840aea160', '-1', '0', 'find_880']
[375, 101, '0x7f3840aea168', '-1', '0', 'find_880']
[376, 101, '0x7f3840aea170', '-1', '0', 'find_880']
[377, 101, '0x7f3840aea178', '-1', '0', 'find_880']
[378, 101, '0x7f3840aea180', '-1', '0', 'find_880']
[379, 101, '0x7f3840aea188', '-1', '0', 'find_880']
[380, 101, '0x7f38403c06d0', '-1', '0', 'get_288']
[381, 101, '0x7f38403c06d8', '-1', '0', 'get_293']
[382, 101, '0x7f38403c5710', '-1', '0', 'find_795']
[383, 101, '0x7f38403c5718', '-1', '0', 'find_795']
[384, 101, '0x7f38403c5720', '-1', '0', 'find_795']
[385, 101, '0x7f38403c5728', '-1', '0', 'find_795']
[386, 101, '0x7f38403c5730', '-1', '0', 'find_795']
