[86, 101, '0x7f0818253090', '0x7f0818253090', '2', 'clht_hash_318']
[87, 101, '0x7f0818253088', '0x7f0818253088', '2', 'clht_get_327']
[88, 101, '0x7f0818253090', '0x7f0818253090', '1', 'clht_hash_318']
[89, 101, '0x7f0818253088', '0x7f0818253088', '1', 'clht_get_327']
[90, 101, '0x7f0818253090', '0x7f0818253090', '1', 'clht_hash_318']
[91, 101, '0x7f0818253088', '0x7f0818253088', '1', 'clht_get_327']
[92, 101, '0x7f0818253090', '0x7f0818253090', '2', 'clht_hash_318']
[93, 101, '0x7f0818253088', '0x7f0818253088', '2', 'clht_get_327']
[94, 101, '0x7f0818253090', '0x7f0818253090', '1', 'clht_hash_318']
[95, 101, '0x7f0818253088', '0x7f0818253088', '1', 'clht_get_327']
[96, 103, '0', '-1', '1', 'clht_gc_thread_init_51_x']
[97, 103, '0', '-1', '1', 'clht_get_327_x']
[98, 101, '0x7f0818253090', '0x7f0818253090', '2', 'clht_hash_318']
[99, 101, '0x7f0818253088', '0x7f0818253088', '2', 'clht_get_327']
[100, 101, '0x7f0818253090', '0x7f0818253090', '2', 'clht_hash_318']
[101, 101, '0x7f0818253088', '0x7f0818253088', '2', 'clht_get_327']
[102, 103, '0', '-1', '2', 'clht_hash_318_x']
[103, 103, '0', '-1', '2', 'clht_put_381_x']
['Lock_11', 105, 'M1', -1, '0', 'clht_gc_collect_cond_154_x']
[104, 101, '0x7f0818253098', '0x7f0818253098', '0', 'clht_gc_collect_cond_154']
['UnLock_11', 106, 'M1', -1, '0', 'clht_gc_collect_cond_154_x']
[105, 102, '0x7f0818253098', '-1', '0', 'clht_gc_collect_cond_154_x']
[106, 102, '0x7f0818253000', '-1', '0', 'clht_create_245']
[107, 101, '0x7f0818253080', '0x7f0818253080', '0', 'clht_gc_free_219']
[108, 102, '0x7f0818253080', '-1', '0', 'clht_gc_free_219_x']
['Lock_12', 105, 'M1', -1, '0', 'clht_gc_free_225_x']
[109, 101, '0x7f0818253088', '0x7f08182530c0', '0', 'clht_gc_free_225']
['UnLock_12', 106, 'M1', -1, '0', 'clht_gc_free_225_x']
[110, 102, '0x7f0818253088', '-1', '0', 'clht_gc_free_225_x']
[111, 103, '0', '-1', '0', 'clht_hashtable_create_269_x']
['Lock_14', 105, 'M1', -1, '0', 'clht_gc_free_236_x']
[112, 101, '0x7f0818253088', '0x7f0818253080', '0', 'clht_gc_free_236']
['UnLock_14', 106, 'M1', -1, '0', 'clht_gc_free_236_x']
[113, 102, '0x7f0818253088', '-1', '0', 'clht_gc_free_236_x']
[114, 103, '0', '-1', '0', 'clht_hashtable_create_297_x']
[115, 103, '0', '-1', '0', 'clht_hashtable_create_270_x']
