[122, 101, '0x7fac04001438', '0x1de6a38', 17, '50']
[123, 101, '0x1de6a38', '0x7fabfc003a18', 17, '51']
[124, 101, '0x7fac04001490', '-1', 17, '22']
[125, 101, '0x7fac04001498', '0x7fabfc003a10', 17, '23']
[126, 101, '0x7fabfc0044b8', '0x1de6a38', 17, '50']
[127, 101, '0x1de6a38', '0x7fabfc003a18', 17, '51']
[128, 101, '0x7fabfc004510', '-1', 17, '22']
[129, 101, '0x7fabfc004518', '0x7fabfc003a10', 17, '23']
[130, 101, '0x7fac04001498', '0x1de6a38', 17, '50']
[131, 101, '0x1de6a38', '0x7fabfc003a18', 17, '51']
[132, 101, '0x7fac040014f0', '-1', 17, '22']
[133, 101, '0x7fac040014f8', '0x7fabfc003a10', 17, '23']
[134, 101, '0x7fabfc004518', '0x1de6a38', 17, '50']
[135, 101, '0x1de6a38', '0x7fabfc003a18', 17, '51']
[136, 101, '0x7fabfc004570', '-1', 17, '22']
[137, 101, '0x7fabfc004578', '0x7fabfc003a10', 17, '23']
[138, 101, '0x7fac040014f8', '0x1de6a38', 17, '50']
[139, 101, '0x1de6a38', '0x7fabfc003a18', 17, '51']
[140, 101, '0x7fac04001550', '-1', 17, '22']
[141, 101, '0x7fac04001558', '0x7fabfc003a10', 17, '23']
[142, 101, '0x7fabfc004578', '0x1de6a38', 17, '50']
[143, 101, '0x1de6a38', '0x7fabfc003a18', 17, '51']
[144, 101, '0x7fabfc0045d0', '-1', 17, '22']
[145, 101, '0x7fabfc0045d8', '0x7fabfc003a10', 17, '23']
[146, 101, '0x7fac04001558', '0x1de6a38', 17, '50']
[147, 101, '0x1de6a38', '0x7fabfc003a18', 17, '51']
[148, 101, '0x7fac040015b0', '-1', 17, '22']
[149, 101, '0x7fac040015b8', '0x7fabfc003a10', 17, '23']
[150, 101, '0x7fabfc004630', '-1', 17, '22']
[151, 101, '0x7fabfc004638', '0x7fabfc003a10', 17, '23']
[152, 101, '0x7fabfc0045d8', '0x1de6a38', 17, '50']
[153, 101, '0x1de6a38', '0x7fabfc003a18', 17, '51']
[154, 101, '0x7fac040015b8', '0x1de6a38', 17, '50']
[155, 101, '0x1de6a38', '0x7fabfc003a18', 17, '51']
[156, 101, '0x7fac04001610', '-1', 17, '22']
[157, 101, '0x7fac04001618', '0x7fabfc003a10', 17, '23']
[158, 101, '0x7fabfc004638', '0x1de6a38', 17, '50']
[159, 101, '0x1de6a38', '0x7fabfc003a18', 17, '51']
[160, 101, '0x7fabfc004690', '-1', 17, '22']
[161, 101, '0x7fabfc004698', '0x7fabfc003a10', 17, '23']
[162, 101, '0x7fac04001670', '-1', 17, '22']
[163, 101, '0x7fac04001678', '0x7fabfc003a10', 17, '23']
[164, 101, '0x7fac04001618', '0x1de6a38', 17, '50']
[165, 101, '0x1de6a38', '0x7fabfc003a18', 17, '51']
[166, 101, '0x7fac04001678', '0x1de6a38', 17, '50']
[167, 101, '0x1de6a38', '0x7fabfc003a18', 17, '51']
[168, 101, '0x7fabfc0046f0', '-1', 17, '22']
[169, 101, '0x7fabfc0046f8', '0x7fabfc003a10', 17, '23']
[170, 101, '0x7fabfc004698', '0x1de6a38', 17, '50']
[171, 101, '0x1de6a38', '0x7fabfc003a18', 17, '51']
[172, 101, '0x7fac040016d0', '-1', 17, '22']
[173, 101, '0x7fac040016d8', '0x7fabfc003a10', 17, '23']
[174, 101, '0x7fabfc0046f8', '0x1de6a38', 17, '50']
[175, 101, '0x1de6a38', '0x7fabfc003a18', 17, '51']
[176, 101, '0x7fabfc004750', '-1', 17, '22']
