Threads: [{'140686698853120': 0, '140686629267200': 1, '140686637659904': 2}]
['STORE', '0x7fec00576b00', -1, 1, 'clht_hashtable_create_318']
['STORE', '0x7fec00576b08', -1, 1, 'clht_hashtable_create_321']
['STORE', '0x7fec00576b10', -1, 1, 'clht_hashtable_create_321']
['STORE', '0x7fec00576b18', -1, 1, 'clht_hashtable_create_321']
['STORE', '0x7fec00576b40', -1, 1, 'clht_hashtable_create_318']
['STORE', '0x7fec00576b48', -1, 1, 'clht_hashtable_create_321']
['STORE', '0x7fec00576b50', -1, 1, 'clht_hashtable_create_321']
['STORE', '0x7fec00576b58', -1, 1, 'clht_hashtable_create_321']
['STORE', '0x7fec00576b80', -1, 1, 'clht_hashtable_create_318']
['STORE', '0x7fec00576b88', -1, 1, 'clht_hashtable_create_321']
['STORE', '0x7fec00576b90', -1, 1, 'clht_hashtable_create_321']
['STORE', '0x7fec00576b98', -1, 1, 'clht_hashtable_create_321']
['STORE', '0x7fec00576bc0', -1, 1, 'clht_hashtable_create_318']
['STORE', '0x7fec00576bc8', -1, 1, 'clht_hashtable_create_321']
['STORE', '0x7fec00576bd0', -1, 1, 'clht_hashtable_create_321']
['STORE', '0x7fec00576bd8', -1, 1, 'clht_hashtable_create_321']
['STORE', '0x7fec00576c00', -1, 1, 'clht_hashtable_create_318']
['STORE', '0x7fec00576c08', -1, 1, 'clht_hashtable_create_321']
['STORE', '0x7fec00576c10', -1, 1, 'clht_hashtable_create_321']
['STORE', '0x7fec00576c18', -1, 1, 'clht_hashtable_create_321']
['STORE', '0x7fec00576c40', -1, 1, 'clht_hashtable_create_318']
['STORE', '0x7fec00576c48', -1, 1, 'clht_hashtable_create_321']
['STORE', '0x7fec00576c50', -1, 1, 'clht_hashtable_create_321']
['STORE', '0x7fec00576c58', -1, 1, 'clht_hashtable_create_321']
['STORE', '0x7fec00576c80', -1, 1, 'clht_hashtable_create_318']
['STORE', '0x7fec00576c88', -1, 1, 'clht_hashtable_create_321']
['STORE', '0x7fec00576c90', -1, 1, 'clht_hashtable_create_321']
['STORE', '0x7fec00576c98', -1, 1, 'clht_hashtable_create_321']
['STORE', '0x7fec00576cc0', -1, 1, 'clht_hashtable_create_318']
['STORE', '0x7fec00576cc8', -1, 1, 'clht_hashtable_create_321']
['STORE', '0x7fec00576cd0', -1, 1, 'clht_hashtable_create_321']
['STORE', '0x7fec00576cd8', -1, 1, 'clht_hashtable_create_321']
['STORE', '0x7fec00576d00', -1, 1, 'clht_hashtable_create_318']
['STORE', '0x7fec00576d08', -1, 1, 'clht_hashtable_create_321']
