Threads: [{'140352945166080': 0, '140352953558784': 1}]
['STORE', '0x7fa668002830', -1, 0, '107']
['STORE', '0x7fa668002838', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa6700029b0', -1, 1, '107']
['STORE', '0x7fa6700029b8', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa670002a10', -1, 1, '107']
['STORE', '0x7fa670002a18', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa668002890', -1, 0, '107']
['STORE', '0x7fa668002898', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa670002a70', -1, 1, '107']
['STORE', '0x7fa670002a78', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa670002ad0', -1, 1, '107']
['STORE', '0x7fa670002ad8', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa6680028f0', -1, 0, '107']
['STORE', '0x7fa6680028f8', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa670002b30', -1, 1, '107']
['STORE', '0x7fa670002b38', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa668002950', -1, 0, '107']
['STORE', '0x7fa668002958', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa670002b90', -1, 1, '107']
['STORE', '0x7fa670002b98', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa6680029b0', -1, 0, '107']
['STORE', '0x7fa6680029b8', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa670002bf0', -1, 1, '107']
['STORE', '0x7fa670002bf8', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa668002a10', -1, 0, '107']
['STORE', '0x7fa668002a18', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa670002c50', -1, 1, '107']
['STORE', '0x7fa670002c58', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa668002a70', -1, 0, '107']
['STORE', '0x7fa668002a78', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa670002cb0', -1, 1, '107']
['STORE', '0x7fa670002cb8', '0x7fa668001ed0', 1, '108']
