Threads: [{'139844791846656': 0, '139844800239360': 1, '139844800254592': 2}]
['STORE', '0x7f3018003c70', -1, 0, 'insert_112']
['STORE', '0x7f3018003c74', '0x7f30180022d0', 0, 'insert_113']
['STORE', '0x7f3018003c78', '0x7f30180022d4', 0, 'insert_114']
['STORE', '0x7f30200020f0', -1, 1, 'insert_112']
['STORE', '0x7f30200020f4', '0x7f30180022d0', 1, 'insert_113']
['STORE', '0x7f30200020f8', '0x7f30180022d4', 1, 'insert_114']
['STORE', '0x7f3018003cd0', -1, 0, 'insert_112']
['STORE', '0x7f3018003cd4', '0x7f30180022d0', 0, 'insert_113']
['STORE', '0x7f3018003cd8', '0x7f30180022d4', 0, 'insert_114']
['STORE', '0x7f3020002150', -1, 1, 'insert_112']
['STORE', '0x7f3020002154', '0x7f30180022d0', 1, 'insert_113']
['STORE', '0x7f3020002158', '0x7f30180022d4', 1, 'insert_114']
['STORE', '0x7f3018003d30', -1, 0, 'insert_112']
['STORE', '0x7f3018003d34', '0x7f30180022d0', 0, 'insert_113']
['STORE', '0x7f3018003d38', '0x7f30180022d4', 0, 'insert_114']
['STORE', '0x7f30200021b0', -1, 1, 'insert_112']
['STORE', '0x7f30200021b4', '0x7f30180022d0', 1, 'insert_113']
['STORE', '0x7f30200021b8', '0x7f30180022d4', 1, 'insert_114']
['STORE', '0x7f3018003d90', -1, 0, 'insert_112']
['STORE', '0x7f3018003d94', '0x7f30180022d0', 0, 'insert_113']
['STORE', '0x7f3018003d98', '0x7f30180022d4', 0, 'insert_114']
['STORE', '0x7f3020002210', -1, 1, 'insert_112']
['STORE', '0x7f3020002214', '0x7f30180022d0', 1, 'insert_113']
['STORE', '0x7f3020002218', '0x7f30180022d4', 1, 'insert_114']
['STORE', '0x7f3018003df0', -1, 0, 'insert_112']
['STORE', '0x7f3018003df4', '0x7f30180022d0', 0, 'insert_113']
['STORE', '0x7f3018003df8', '0x7f30180022d4', 0, 'insert_114']
['STORE', '0x7f3020002270', -1, 1, 'insert_112']
['STORE', '0x7f3020002274', '0x7f30180022d0', 1, 'insert_113']
['STORE', '0x7f3020002278', '0x7f30180022d4', 1, 'insert_114']
['STORE', '0x7f3018003e50', -1, 0, 'insert_112']
['STORE', '0x7f3018003e54', '0x7f30180022d0', 0, 'insert_113']
['STORE', '0x7f3018003e58', '0x7f30180022d4', 0, 'insert_114']
['STORE', '0x7f3018003eb0', -1, 0, 'insert_112']
['STORE', '0x7f3018003eb4', '0x7f30180022d0', 0, 'insert_113']
['STORE', '0x7f3018003eb8', '0x7f30180022d4', 0, 'insert_114']
['STORE', '0x7f30200022d0', -1, 1, 'insert_112']
['STORE', '0x7f30200022d4', '0x7f30180022d0', 1, 'insert_113']
['STORE', '0x7f30200022d8', '0x7f30180022d4', 1, 'insert_114']
['STORE', '0x7f3018003f10', -1, 0, 'insert_112']
['STORE', '0x7f3018003f14', '0x7f30180022d0', 0, 'insert_113']
['STORE', '0x7f3018003f18', '0x7f30180022d4', 0, 'insert_114']
['STORE', '0x7f3020002330', -1, 1, 'insert_112']
['STORE', '0x7f3020002334', '0x7f30180022d0', 1, 'insert_113']
['STORE', '0x7f3020002338', '0x7f30180022d4', 1, 'insert_114']
['STORE', '0x7f3018003f70', -1, 0, 'insert_112']
['STORE', '0x7f3018003f74', '0x7f30180022d0', 0, 'insert_113']
['STORE', '0x7f3018003f78', '0x7f30180022d4', 0, 'insert_114']
['STORE', '0x7f3020002390', -1, 1, 'insert_112']
['STORE', '0x7f3020002394', '0x7f30180022d0', 1, 'insert_113']
['STORE', '0x7f3020002398', '0x7f30180022d4', 1, 'insert_114']
['STORE', '0x7f30200023f0', -1, 1, 'insert_112']
['STORE', '0x7f30200023f4', '0x7f30180022d0', 1, 'insert_113']
['STORE', '0x7f30200023f8', '0x7f30180022d4', 1, 'insert_114']
['STORE', '0x7f3018003fd0', -1, 0, 'insert_112']
['STORE', '0x7f3018003fd4', '0x7f30180022d0', 0, 'insert_113']
['STORE', '0x7f3018003fd8', '0x7f30180022d4', 0, 'insert_114']
['STORE', '0x7f3020002450', -1, 1, 'insert_112']
['STORE', '0x7f3020002454', '0x7f30180022d0', 1, 'insert_113']
['STORE', '0x7f3020002458', '0x7f30180022d4', 1, 'insert_114']
['STORE', '0x7f3018004030', -1, 0, 'insert_112']
['STORE', '0x7f3018004034', '0x7f30180022d0', 0, 'insert_113']
['STORE', '0x7f3018004038', '0x7f30180022d4', 0, 'insert_114']
['STORE', '0x7f30200024b0', -1, 1, 'insert_112']
['STORE', '0x7f30200024b4', '0x7f30180022d0', 1, 'insert_113']
['STORE', '0x7f30200024b8', '0x7f30180022d4', 1, 'insert_114']
['STORE', '0x7f3018004090', -1, 0, 'insert_112']
['STORE', '0x7f3018004094', '0x7f30180022d0', 0, 'insert_113']
['STORE', '0x7f3018004098', '0x7f30180022d4', 0, 'insert_114']
['STORE', '0x7f3020002510', -1, 1, 'insert_112']
['STORE', '0x7f3020002514', '0x7f30180022d0', 1, 'insert_113']
['STORE', '0x7f3020002518', '0x7f30180022d4', 1, 'insert_114']
['STORE', '0x7f30180040f0', -1, 0, 'insert_112']
['STORE', '0x7f30180040f4', '0x7f30180022d0', 0, 'insert_113']
['STORE', '0x7f30180040f8', '0x7f30180022d4', 0, 'insert_114']
['STORE', '0x7f3020002570', -1, 1, 'insert_112']
['STORE', '0x7f3020002574', '0x7f30180022d0', 1, 'insert_113']
['STORE', '0x7f3020002578', '0x7f30180022d4', 1, 'insert_114']
['STORE', '0x7f3018004150', -1, 0, 'insert_112']
['STORE', '0x7f3018004154', '0x7f30180022d0', 0, 'insert_113']
['STORE', '0x7f3018004158', '0x7f30180022d4', 0, 'insert_114']
['STORE', '0x7f30180041b0', -1, 0, 'insert_112']
['STORE', '0x7f30180041b4', '0x7f30180022d0', 0, 'insert_113']
['STORE', '0x7f30180041b8', '0x7f30180022d4', 0, 'insert_114']
['STORE', '0x7f30200025d0', -1, 1, 'insert_112']
['STORE', '0x7f30200025d4', '0x7f30180022d0', 1, 'insert_113']
['STORE', '0x7f30200025d8', '0x7f30180022d4', 1, 'insert_114']
['STORE', '0x7f3018004210', -1, 0, 'insert_112']
['STORE', '0x7f3018004214', '0x7f30180022d0', 0, 'insert_113']
['STORE', '0x7f3018004218', '0x7f30180022d4', 0, 'insert_114']
['STORE', '0x7f3018004270', -1, 0, 'insert_112']
['STORE', '0x7f3018004274', '0x7f30180022d0', 0, 'insert_113']
['STORE', '0x7f3018004278', '0x7f30180022d4', 0, 'insert_114']
['STORE', '0x7f3020002630', -1, 1, 'insert_112']
