Threads: [{'140416676828928': 0, '140416668436224': 1}]
['STORE', '0x7fb548002c78', -1, 1, '29']
['STORE', '0x7fb540002570', -1, 1, '21']
['STORE', '0x7fb540002578', '0x7fb548001f60', 1, '22']
['STORE', '0x7fb540002518', -1, 1, '29']
['STORE', '0x7fb548002cd0', -1, 0, '21']
['STORE', '0x7fb548002cd8', '0x7fb548001f60', 0, '22']
['STORE', '0x7fb540002578', -1, 0, '29']
['STORE', '0x7fb5400025d0', -1, 1, '21']
['STORE', '0x7fb5400025d8', '0x7fb548001f60', 1, '22']
['STORE', '0x7fb548002cd8', -1, 1, '29']
['STORE', '0x7fb540002630', -1, 1, '21']
['STORE', '0x7fb540002638', '0x7fb548001f60', 1, '22']
['STORE', '0x7fb5400025d8', -1, 1, '29']
