Threads: [{'139760637859904': 0, '139759532680960': 1, '139759524288256': 2}]
['FENCE', 0, -1, 1, 'Insert_248']
['STORE', '0x7f1c4f5c05e0', '0x7f1c4f5c05f0', 1, 'Get_428']
['STORE', '0x7f1c4f5c05f0', '0x7f1c4f5c05f0', 1, 'Get_432']
['STORE', '0x7f1c4f5c05e0', '0x7f1c4f5c05f0', 2, 'Get_428']
['STORE', '0x7f1c4f5c05f0', '0x7f1c4f5c05f0', 2, 'Get_432']
['STORE', '0x7f1c4f5c05f0', '0x7f1c4f5c05f0', 1, 'Get_448']
['STORE', '0x7f1c4f5c05f0', '0x7f1c4f5c05f0', 2, 'Get_448']
['STORE', '0x7f1c502a4dd0', '0x7f1c502a4dd0', 1, 'Get_457']
['STORE', '0x7f1c502a4dd8', '0x7f1c502a4dd0', 1, 'Get_458']
['STORE', '0x7f1c4fda5790', '0x7f1c502a4dd0', 2, 'Get_457']
['STORE', '0x7f1c4fda5798', '0x7f1c502a4dd0', 2, 'Get_458']
['STORE', '0x7f1c4f5c05e0', '0x7f1c4f5c05f0', 1, 'Get_428']
['STORE', '0x7f1c4f5c05f0', '0x7f1c4f5c05f0', 1, 'Get_432']
['STORE', '0x7f1c4f5c05f0', '0x7f1c4f5c05f0', 1, 'Get_448']
['STORE', '0x7f1c4f5c05e0', '0x7f1c4f5c05f0', 2, 'Get_428']
['STORE', '0x7f1c4f5c05f0', '0x7f1c4f5c05f0', 2, 'Get_432']
['STORE', '0x7f1c4fdcc010', '0x7f1c502a4dd0', 1, 'Get_457']
['STORE', '0x7f1c4fdcc018', '0x7f1c502a4dd0', 1, 'Get_458']
['STORE', '0x7f1c4f5c05f0', '0x7f1c4f5c05f0', 2, 'Get_448']
['STORE', '0x7f1c505e6090', '0x7f1c502a4dd0', 2, 'Get_457']
['STORE', '0x7f1c505e6098', '0x7f1c502a4dd0', 2, 'Get_458']
['STORE', '0x7f1c4f5c05e0', '0x7f1c4f5c05f0', 1, 'Get_428']
['STORE', '0x7f1c4f5c05f0', '0x7f1c4f5c05f0', 1, 'Get_432']
['STORE', '0x7f1c4f5c05f0', '0x7f1c4f5c05f0', 1, 'Get_448']
['STORE', '0x7f1c4f5c05e0', '0x7f1c4f5c05f0', 2, 'Get_428']
['STORE', '0x7f1c4f5c05f0', '0x7f1c4f5c05f0', 2, 'Get_432']
['STORE', '0x7f1c504ec090', '0x7f1c502a4dd0', 1, 'Get_457']
['STORE', '0x7f1c504ec098', '0x7f1c502a4dd0', 1, 'Get_458']
['STORE', '0x7f1c4f5c05f0', '0x7f1c4f5c05f0', 2, 'Get_448']
['STORE', '0x7f1c500220d0', '0x7f1c502a4dd0', 2, 'Get_457']
['STORE', '0x7f1c500220d8', '0x7f1c502a4dd0', 2, 'Get_458']
['STORE', '0x7f1c4f5c05e0', '0x7f1c4f5c05f0', 1, 'Get_428']
['STORE', '0x7f1c4f5c05f0', '0x7f1c4f5c05f0', 1, 'Get_432']
['STORE', '0x7f1c4f5c05f0', '0x7f1c4f5c05f0', 1, 'Get_448']
['STORE', '0x7f1c4fd96ad0', '0x7f1c502a4dd0', 1, 'Get_457']
['STORE', '0x7f1c4fd96ad8', '0x7f1c502a4dd0', 1, 'Get_458']
['STORE', '0x7f1c4f5c05e0', '0x7f1c4f5c05f0', 2, 'Get_428']
['STORE', '0x7f1c4f5c05f0', '0x7f1c4f5c05f0', 2, 'Get_432']
['STORE', '0x7f1c4f5c05f0', '0x7f1c4f5c05f0', 2, 'Get_448']
['STORE', '0x7f1c4f5c05e0', '0x7f1c4f5c05f0', 1, 'Get_428']
['STORE', '0x7f1c4f5c05f0', '0x7f1c4f5c05f0', 1, 'Get_432']
['STORE', '0x7f1c4fa2a6d0', '0x7f1c502a4dd0', 2, 'Get_457']
['STORE', '0x7f1c4fa2a6d8', '0x7f1c502a4dd0', 2, 'Get_458']
['STORE', '0x7f1c4f5c05f0', '0x7f1c4f5c05f0', 1, 'Get_448']
['STORE', '0x7f1c502d9c90', '0x7f1c502a4dd0', 1, 'Get_457']
['STORE', '0x7f1c502d9c98', '0x7f1c502a4dd0', 1, 'Get_458']
['STORE', '0x7f1c4f5c05e0', '0x7f1c4f5c05f0', 2, 'Get_428']
['STORE', '0x7f1c4f5c05f0', '0x7f1c4f5c05f0', 2, 'Get_432']
['STORE', '0x7f1c4f5c05f0', '0x7f1c4f5c05f0', 2, 'Get_448']
['STORE', '0x7f1c50257250', '0x7f1c502a4dd0', 2, 'Get_457']
['STORE', '0x7f1c50257258', '0x7f1c502a4dd0', 2, 'Get_458']
['STORE', '0x7f1c4f5c0550', -1, 0, 'main_203']
