Threads: [{'139888889608256': 0, '139888858281728': 1}]
['STORE', '0x7f38403c0630', '0x7f38403c0630', 0, 'operator128']
['STORE', '0x7f38403c0618', '0x7f38403c0618', 0, 'get_288']
['STORE', '0x7f38403c0620', '0x7f38403c0620', 0, 'get_293']
['tx_begin', 0, -1, 0, 'manual<>_110']
['STORE', '0x7f38403c0bd0', -1, 0, 'construct<const193']
['STORE', '0x7f38403c0bd8', -1, 0, 'swap<unsigned195']
['STORE', '0x7f38403c0bd8', '0x7f38403c0958', 0, 'allocate_0']
['STORE', '0x7f38403c0bd8', -1, 0, 'allocate_0']
['STORE', '0x7f38403c0bd8', '0x7f38403c0958', 0, 'operator128']
['STORE', '0x7f38403c0bd8', -1, 0, 'swap<unsigned195']
['STORE', '0x7f38403c05f0', '0x7f38403c05f0', 1, 'load_419']
['STORE', '0x7f38403c05d0', '0x7f38403c05d0', 1, 'resize_1439']
['STORE', '0x7f38403c0bef', -1, 0, 'assign_sso_data<const2315']
['STORE', '0x7f38403c0630', '0x7f38403c0630', 1, 'operator128']
['STORE', '0x7f38403c0658', '0x7f38403c0658', 1, 'resize_0']
['STORE', '0x7f38403c0650', '0x7f38403c0650', 1, 'resize_1447']
['STORE', '0x7f38403c0630', '0x7f38403c0630', 1, 'operator128']
['STORE', '0x7f38403c0768', '0x7f38403c0768', 1, 'resize_0']
['STORE', '0x7f38403c0bf8', -1, 0, 'construct<const193']
['STORE', '0x7f38403c0c00', -1, 0, 'swap<unsigned195']
['STORE', '0x7f38403c0c00', '0x7f38403c0958', 0, 'allocate_0']
['STORE', '0x7f38403c0c00', -1, 0, 'allocate_0']
['STORE', '0x7f38403c0c00', '0x7f38403c0958', 0, 'operator128']
['STORE', '0x7f38403c0c00', -1, 0, 'swap<unsigned195']
['STORE', '0x7f38403c0c17', -1, 0, 'assign_sso_data<const2315']
['STORE', '0x7f38403c08e0', -1, 0, 'operator=_206']
