Threads: [{'140241468000320': 0, '140241436673792': 1, '140241428281088': 2, '140105943586560': 3}]
['STORE', '0x7f8a804014ec', '0x7f8a804014ec', 0, 'insert_key_513']
['STORE', '0x7f8a804015e8', '0x7f8a80401528', 0, 'insert_key_530']
['STORE', '0x7f8a804015f8', -1, 0, 'insert_key_530']
['STORE', '0x7f8a804015d0', '0x7f8a80401510', 0, 'insert_key_539']
['STORE', '0x7f8a804015d8', '0x7f8a80401500', 0, 'insert_key_540']
['STORE', '0x7f8a804015e8', '0x7f8a80401500', 0, 'insert_key_540']
['STORE', '0x7f8a804015d0', '0x7f8a80401500', 0, 'insert_key_541']
['STORE', '0x7f8a804015e0', '0x7f8a80401518', 0, 'insert_key_541']
['STORE', '0x7f8a804015c0', '0x7f8a80401510', 0, 'insert_key_539']
['STORE', '0x7f8a804015c8', '0x7f8a80401500', 0, 'insert_key_540']
['STORE', '0x7f8a804015d8', '0x7f8a80401500', 0, 'insert_key_540']
['STORE', '0x7f8a804015c0', '0x7f8a80401500', 0, 'insert_key_541']
['STORE', '0x7f8a804015d0', '0x7f8a80401518', 0, 'insert_key_541']
['STORE', '0x7f8a804015b0', '0x7f8a80401510', 0, 'insert_key_539']
['STORE', '0x7f8a804015b8', '0x7f8a80401500', 0, 'insert_key_540']
['STORE', '0x7f8a804015c8', '0x7f8a80401500', 0, 'insert_key_540']
['STORE', '0x7f8a804015b0', '0x7f8a80401500', 0, 'insert_key_541']
