Threads: [{'140229832783936': 0, '140229730092800': 1, '140229704914688': 2, '140229755270912': 3}]
[101, "'0x7f89c4bf6c38'", '-1', 1, 'do_item_alloc_341']
[101, "'0x7f89c4bf6c37'", '-1', 1, 'do_item_alloc_344']
[101, "'0x7f89c4bf6c39'", '-1', 1, 'do_item_alloc_345']
[101, "'0x7f89c4bf6c30'", '-1', 1, 'do_item_alloc_346']
[101, "'0x7f89c4bf6c37'", "'0x7f89c4bf6bd7'", 1, 'do_item_alloc_347']
[101, "'0x7f89c4bf6c2c'", '-1', 1, 'do_item_alloc_348']
[101, "'0x7f89c4bf6c36'", '-1', 1, 'do_item_alloc_354']
[101, "'0x7f89c4bf6c37'", "'0x7f89c4bf6bd7'", 1, 'do_item_alloc_357']
[101, "'0x7f89c4bf6c20'", '-1', 1, 'do_item_alloc_372']
[101, "'0x7f89c4bf6c37'", "'0x7f89c4bf6bd7'", 1, 'do_item_alloc_374']
[101, "'0x7f89c4bf6c37'", "'0x7f89c4bf6bd7'", 1, 'process_update_command_4113']
[101, "'0x7f89c4bf6c40'", '-1', 1, 'process_update_command_4113']
[101, "'0x7f89c4bf6c39'", "'0x7f89c4bf6bd9'", 1, 'process_update_command_4116']
[101, "'0x7f89c4bf6c36'", "'0x7f89c4bf6bd6'", 1, 'process_update_command_4116']
[101, "'0x7f89c4bf6c37'", "'0x7f89c4bf6bd7'", 1, 'process_update_command_4116']
[101, "'0x7f89c4bf6c30'", "'0x7f89c4bf6bd0'", 1, 'process_update_command_4117']
[101, "'0x7f89c4bf6c37'", "'0x7f89c4bf6bd7'", 1, 'drive_machine_5581']
[101, "'0x7f89c4bf6c37'", "'0x7f89c4bf6bd7'", 1, 'drive_machine_5583']
[101, "'0x7f89c4bf6c38'", "'0x7f89c4bf6bd8'", 1, 'complete_nread_ascii_1168']
[101, "'0x7f89c4bf6c37'", "'0x7f89c4bf6bd7'", 1, 'complete_nread_ascii_1171']
[101, "'0x7f89c4bf6c39'", "'0x7f89c4bf6bd9'", 1, 'complete_nread_ascii_1172']
[101, "'0x7f89c4bf6c36'", "'0x7f89c4bf6bd6'", 1, 'complete_nread_ascii_1172']
[101, "'0x7f89c4bf6c37'", "'0x7f89c4bf6bd7'", 1, 'complete_nread_ascii_1172']
[101, "'0x7f89c4bf6c30'", "'0x7f89c4bf6bd0'", 1, 'complete_nread_ascii_1172']
[101, "'0x7f89c4bf6c37'", "'0x7f89c4bf6bd7'", 1, 'do_store_item_2844']
[101, "'0x7f89c4bf6c39'", "'0x7f89c4bf6bd9'", 1, 'do_store_item_2845']
[101, "'0x7f89c4bf6bb8'", "'0x7f89c4bf6c18'", 2, 'lru_pull_tail_1161']
[101, "'0x7f89c4bf6bd0'", "'0x7f89c4bf6bd0'", 2, 'lru_pull_tail_1162']
[101, "'0x7f89c4bf6bd7'", "'0x7f89c4bf6bd7'", 2, 'lru_pull_tail_1171']
[101, "'0x7f89c4bf6bd9'", "'0x7f89c4bf6bd9'", 2, 'lru_pull_tail_1171']
[101, "'0x7f89c4bf6bd4'", "'0x7f89c4bf6bd4'", 2, 'lru_pull_tail_1177']
[101, "'0x7f89c4bf6bd4'", '-1', 2, 'lru_pull_tail_1177']
[101, "'0x7f89c4bf6bcc'", "'0x7f89c4bf6bcc'", 2, 'lru_pull_tail_1196']
[101, "'0x7f89c4bf6bd7'", "'0x7f89c4bf6bd7'", 2, 'item_is_flushed_131']
[101, "'0x7f89c4bf6be0'", "'0x7f89c4bf6be0'", 2, 'item_is_flushed_131']
[101, "'0x7f89c4bf6bd7'", "'0x7f89c4bf6bd7'", 2, 'lru_pull_tail_1224']
[101, "'0x7f89c4bf6bd8'", "'0x7f89c4bf6bd8'", 2, 'do_item_unlink_q_456']
[101, "'0x7f89c4bf6bd8'", "'0x7f89c4bf6bd8'", 2, 'do_item_unlink_q_457']
[101, "'0x7f89c4bf6bb0'", "'0x7f89c4bf6c70'", 2, 'do_item_unlink_q_461']
[101, "'0x7f89c4bf6bb8'", "'0x7f89c4bf6c18'", 2, 'do_item_unlink_q_465']
[101, "'0x7f89c4bf6bb0'", "'0x7f89c4bf6c70'", 2, 'do_item_unlink_q_470']
[101, "'0x7f89c4bf6bb8'", "'0x7f89c4bf6c18'", 2, 'do_item_unlink_q_471']
[101, "'0x7f89c4bf6bd8'", "'0x7f89c4bf6bd8'", 2, 'do_item_unlink_q_472']
[101, "'0x7f89c4bf6bd9'", "'0x7f89c4bf6bd9'", 2, 'do_item_unlink_q_480']
[101, "'0x7f89c4bf6bd6'", "'0x7f89c4bf6bd6'", 2, 'do_item_unlink_q_480']
[101, "'0x7f89c4bf6bd0'", "'0x7f89c4bf6bd0'", 2, 'do_item_unlink_q_480']
[101, "'0x7f89c4bf6bd7'", "'0x7f89c4bf6bd7'", 2, 'do_item_unlink_q_480']
[101, "'0x7f89c4bf6bd8'", "'0x7f89c4bf6bd8'", 2, 'do_item_unlink_q_480']
[101, "'0x7f89c4bf6bd8'", "'0x7f89c4bf6bd8'", 2, 'lru_pull_tail_1301']
[101, "'0x7f89c4bf6bd8'", '-1', 2, 'lru_pull_tail_1301']
[101, "'0x7f89c4bf6bd8'", "'0x7f89c4bf6bd8'", 2, 'lru_pull_tail_1302']
[101, "'0x7f89c4bf6bd8'", '-1', 2, 'lru_pull_tail_1302']
[101, "'0x7f89c4bf6bd8'", "'0x7f89c4bf6bd8'", 2, 'item_link_q_442']
[101, "'0x7f89c4bf6bd8'", "'0x7f89c4bf6bd8'", 2, 'do_item_link_q_418']
[101, "'0x7f89c4bf6bd8'", "'0x7f89c4bf6bd8'", 2, 'do_item_link_q_419']
[101, "'0x7f89c4bf6bb8'", '-1', 2, 'do_item_link_q_422']
[101, "'0x7f89c4bf6bb0'", '-1', 2, 'do_item_link_q_423']
[101, "'0x7f89c4bf6bb0'", "'0x7f89c4bf6bb0'", 2, 'do_item_link_q_424']
[101, "'0x7f89c4bf6bd8'", "'0x7f89c4bf6bd8'", 2, 'do_item_link_q_427']
[101, "'0x7f89c4bf6bd9'", "'0x7f89c4bf6bd9'", 2, 'do_item_link_q_435']
[101, "'0x7f89c4bf6bd6'", "'0x7f89c4bf6bd6'", 2, 'do_item_link_q_435']
[101, "'0x7f89c4bf6bd0'", "'0x7f89c4bf6bd0'", 2, 'do_item_link_q_435']
[101, "'0x7f89c4bf6bd7'", "'0x7f89c4bf6bd7'", 2, 'do_item_link_q_435']
[101, "'0x7f89c4bf6bd8'", "'0x7f89c4bf6bd8'", 2, 'do_item_link_q_435']
[101, "'0x7f89c4bf6bd8'", "'0x7f89c4bf6bd8'", 2, 'item_link_q_444']
[101, "'0x7f89c4bf6bd4'", "'0x7f89c4bf6bd4'", 2, 'do_item_remove_592']
[101, "'0x7f89c4bf6bd4'", '-1', 2, 'do_item_remove_592']
[101, "'0x7f89c4bf6cd8'", '-1', 3, 'do_slabs_alloc_414']
[101, "'0x7f89c4bf6c94'", '-1', 3, 'do_slabs_alloc_418']
[101, "'0x7f89c4bf6c78'", '-1', 3, 'do_item_alloc_327']
[101, "'0x7f89c4bf6c70'", '-1', 3, 'do_item_alloc_327']
[101, "'0x7f89c4bf6c98'", '-1', 3, 'do_item_alloc_341']
[101, "'0x7f89c4bf6c97'", '-1', 3, 'do_item_alloc_344']
[101, "'0x7f89c4bf6c99'", '-1', 3, 'do_item_alloc_345']
[101, "'0x7f89c4bf6c90'", '-1', 3, 'do_item_alloc_346']
[101, "'0x7f89c4bf6c97'", "'0x7f89c4bf6bd7'", 3, 'do_item_alloc_347']
[101, "'0x7f89c4bf6c8c'", '-1', 3, 'do_item_alloc_348']
[101, "'0x7f89c4bf6c96'", '-1', 3, 'do_item_alloc_354']
[101, "'0x7f89c4bf6c97'", "'0x7f89c4bf6bd7'", 3, 'do_item_alloc_357']
[101, "'0x7f89c4bf6c80'", '-1', 3, 'do_item_alloc_372']
[101, "'0x7f89c4bf6c97'", "'0x7f89c4bf6bd7'", 3, 'do_item_alloc_374']
[101, "'0x7f89c4bf6c97'", "'0x7f89c4bf6bd7'", 3, 'process_update_command_4113']
[101, "'0x7f89c4bf6ca0'", '-1', 3, 'process_update_command_4113']
[101, "'0x7f89c4bf6c99'", "'0x7f89c4bf6bd9'", 3, 'process_update_command_4116']
[101, "'0x7f89c4bf6c96'", "'0x7f89c4bf6bd6'", 3, 'process_update_command_4116']
[101, "'0x7f89c4bf6c97'", "'0x7f89c4bf6bd7'", 3, 'process_update_command_4116']
[101, "'0x7f89c4bf6c90'", "'0x7f89c4bf6bd0'", 3, 'process_update_command_4117']
[101, "'0x7f89c4bf6c97'", "'0x7f89c4bf6bd7'", 3, 'drive_machine_5581']
[101, "'0x7f89c4bf6c97'", "'0x7f89c4bf6bd7'", 3, 'drive_machine_5583']
[101, "'0x7f89c4bf6c37'", "'0x7f89c4bf6bd7'", 1, 'do_item_link_515']
[101, "'0x7f89c4bf6c37'", "'0x7f89c4bf6bd7'", 1, 'do_item_link_526']
[101, "'0x7f89c4bf6c37'", '-1', 1, 'do_item_link_526']
[101, "'0x7f89c4bf6c28'", '-1', 1, 'do_item_link_527']
[101, "'0x7f89c4bf6c39'", "'0x7f89c4bf6bd9'", 1, 'do_item_link_533']
[101, "'0x7f89c4bf6c36'", "'0x7f89c4bf6bd6'", 1, 'do_item_link_533']
[101, "'0x7f89c4bf6c30'", "'0x7f89c4bf6bd0'", 1, 'do_item_link_533']
[101, "'0x7f89c4bf6c37'", "'0x7f89c4bf6bd7'", 1, 'do_item_link_533']
[101, "'0x7f89c4bf6c37'", "'0x7f89c4bf6bd7'", 1, 'do_item_link_539']
[101, "'0x7f89c4bf6c40'", '-1', 1, 'do_item_link_539']
[101, "'0x7f89c4bf6c38'", "'0x7f89c4bf6bd8'", 1, 'item_link_q_442']
[101, "'0x7f89c4bf6c38'", "'0x7f89c4bf6bd8'", 1, 'do_item_link_q_418']
[101, "'0x7f89c4bf6c38'", "'0x7f89c4bf6bd8'", 1, 'do_item_link_q_419']
[101, "'0x7f89c4bf6c18'", '-1', 1, 'do_item_link_q_422']
[101, "'0x7f89c4bf6c10'", '-1', 1, 'do_item_link_q_423']
[101, "'0x7f89c4bf6c10'", "'0x7f89c4bf6bb0'", 1, 'do_item_link_q_424']
[101, "'0x7f89c4bf6c38'", "'0x7f89c4bf6bd8'", 1, 'do_item_link_q_427']
[101, "'0x7f89c4bf6c39'", "'0x7f89c4bf6bd9'", 1, 'do_item_link_q_435']
[101, "'0x7f89c4bf6c36'", "'0x7f89c4bf6bd6'", 1, 'do_item_link_q_435']
